Week received,"Al/AN, NH","Asian/Pl, NH",Hispanic,"White, NH","Black, NH"
2021-01-02,254.10,155.46,372.97,202.39,153
2021-01-09,400.14,178.70,424.38,184.56,169.15
2021-01-16,240.58,142.61,331.61,147.67,155.55
2021-01-23,179.43,115.35,249.13,124.06,132.99
2021-01-30,160.62,95.48,209.73,108.29,133.02
2021-02-06,125.71,72.75,140.10,84.04,90.66
2021-02-13,84.07,60.06,129.19,73.25,82.7
2021-02-20,63.49,50.48,100.38,59.54,66.24
2021-02-27,62.47,57.52,100.08,92.10,81.31
2021-03 -06,46.45,45.57,84.23,54.44,62.39
2021-03 -13,52.32,46.03,93.67,57.73,62.05
2021-03 -20,43.99,54.23,136.06,72.06,90.81
2021-03 -27,46.12,50.71,107.03,67.88,81.67
2021-04-03,52.36,45.13,82.06,60.28,68.44
2021-04-10,52.86,45.25,83.41,60.11,75.99
2021-04-17,51.25,40.40,78.92,57.80,79.49
2021-04-24,124.11,41.10,93.12,69.07,87.3